date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:51	92/92	---M-Z	200	added ('OK')	text/plain	etag:%22e22f3e855d22845a35ca4afa002b63e8%22	https://www.apnaproject.com/robots.txt		(from )
16:14:53	235529/235529	---M-Z	200	added ('OK')	text/html	etag:%228b633972225ae2a3467a17cc1f5925a0%22	https://www.apnaproject.com/	C:/Users/harsha/Downloads/newwebsite/www.apnaproject.com/index.html	(from )
16:14:53	7967/7967	---MC-	200	added ('OK')	image/png	etag:%225227bc0bb3ac3bf18dea937c7707d688%22	https://framerusercontent.com/images/5wompyT262924DqHKGMl9wxT0kE.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/5wompyT262924DqHKGMl9wxT0kE.png	(from https://www.apnaproject.com/)
16:14:53	174890/174890	---M-Z	200	added ('OK')	text/html	etag:%222f27f7ecc8d9e7800d65ae976b8b28c1%22	https://www.apnaproject.com/project	C:/Users/harsha/Downloads/newwebsite/www.apnaproject.com/project.html	(from https://www.apnaproject.com/)
16:14:53	45581/45581	---MC-	200	added ('OK')	image/png	etag:%229202aec30855d5d0a296568ee5a69e65%22	https://framerusercontent.com/images/x7irj2tTDsOHZJ2oUKUBrrLuuk.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/x7irj2tTDsOHZJ2oUKUBrrLuuk.png	(from https://www.apnaproject.com/)
16:14:54	104222/104222	---M-Z	200	added ('OK')	text/html	etag:%22775c67fed59d3d4b5289503f660803bf%22	https://www.apnaproject.com/blogs	C:/Users/harsha/Downloads/newwebsite/www.apnaproject.com/blogs.html	(from https://www.apnaproject.com/)
16:14:54	13561/13561	---MC-	200	added ('OK')	image/png	etag:%220d61fc42e682ec8e1fa927d8ee15a9f2%22	https://framerusercontent.com/images/62YAdwWKtHA2uxeG6IcB2wGOI.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/62YAdwWKtHA2uxeG6IcB2wGOI.png	(from https://www.apnaproject.com/)
16:14:55	5130/5130	---MC-	200	added ('OK')	image/png	etag:%22d7a9d99f72aad395859da61e478dff04%22	https://framerusercontent.com/images/evXMLrD4m40Xco7EEEfyeWwmakM.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/evXMLrD4m40Xco7EEEfyeWwmakM.png	(from https://www.apnaproject.com/project)
16:14:55	4683/4683	---MC-	200	added ('OK')	image/png	etag:%222267f8d478839b4ccc32742b62fe1439%22	https://framerusercontent.com/images/tomsHHPfxCuGKyneqaFy60qKo.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/tomsHHPfxCuGKyneqaFy60qKo.png	(from https://www.apnaproject.com/project)
16:14:55	5595/5595	---MC-	200	added ('OK')	image/png	etag:%2241fe8763b863db10467a31cdebb8ab4e%22	https://framerusercontent.com/images/d4dkAqhdDLZr6SIUlU3dFtldo2g.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/d4dkAqhdDLZr6SIUlU3dFtldo2g.png	(from https://www.apnaproject.com/project)
16:14:55	15378/15378	---MC-	200	added ('OK')	image/png	etag:%22462d2d7757ab0a3c9e0918208712b2e3%22	https://framerusercontent.com/images/T0oPOT1FP4hEUmsqj1Pumkq2Jpc.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/T0oPOT1FP4hEUmsqj1Pumkq2Jpc.png	(from https://www.apnaproject.com/project)
16:14:55	34060/34060	---MC-	200	added ('OK')	image/png	etag:%228e702fdc3632f6c612e7b4782411338e%22	https://framerusercontent.com/images/HnYwB4OyxxN2jKB0vqgjeEeaS4.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/HnYwB4OyxxN2jKB0vqgjeEeaS4.png	(from https://www.apnaproject.com/project)
16:14:56	3184/3184	---MC-	200	added ('OK')	image/png	etag:%22348460b327ff7d424dd85952aca3b885%22	https://framerusercontent.com/images/czYinrgE4on8YLDneCe1EWKnj8.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/czYinrgE4on8YLDneCe1EWKnj8.png	(from https://www.apnaproject.com/project)
16:14:56	4325/4325	---MC-	200	added ('OK')	image/png	etag:%225ea6721158d9fbbbb6f54afb088365e6%22	https://framerusercontent.com/images/Xi6fAxl5N24PxqNv5YvQflHRFU.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/Xi6fAxl5N24PxqNv5YvQflHRFU.png	(from https://www.apnaproject.com/project)
16:14:56	3726/3726	---MC-	200	added ('OK')	image/png	etag:%22b8057e6f2f703efd5808c22fabe55c3e%22	https://framerusercontent.com/images/Z6G9XAnOCZOHHBogjFonN8q9cg.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/Z6G9XAnOCZOHHBogjFonN8q9cg.png	(from https://www.apnaproject.com/project)
16:14:56	6388/6388	---MC-	200	added ('OK')	image/png	etag:%22077192cc40e0ae8aa1fb57d931d99aee%22	https://framerusercontent.com/images/BzYgdhr4WiilvmZRuq6QWqdcv4.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/BzYgdhr4WiilvmZRuq6QWqdcv4.png	(from https://www.apnaproject.com/project)
16:14:57	3688/3688	---MC-	200	added ('OK')	image/png	etag:%22ad1222e8d861cf9ca3006438ad3c0d6e%22	https://framerusercontent.com/images/gz3g6Z8JINeNvufU8SFJIRHh8mo.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/gz3g6Z8JINeNvufU8SFJIRHh8mo.png	(from https://www.apnaproject.com/project)
16:14:57	6100/6100	---MC-	200	added ('OK')	image/png	etag:%22426f2151df0edc18588bfb14e0cd7035%22	https://framerusercontent.com/images/0pPdWRuQ4pkKDk6LIZlDeGFaQig.png?scale-down-to=1024	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/0pPdWRuQ4pkKDk6LIZlDeGFaQigbf23.png	(from https://www.apnaproject.com/blogs)
16:14:58	113909/113909	---M-Z	200	added ('OK')	text/html	etag:%2259d321d1945bca8b3ae6b3897ee932ec%22	https://www.apnaproject.com/blog-saas	C:/Users/harsha/Downloads/newwebsite/www.apnaproject.com/blog-saas.html	(from https://www.apnaproject.com/blogs)
16:14:59	111935/111935	---M-Z	200	added ('OK')	text/html	etag:%22ab2ffe263f6f6518edeb4104b8a2f8b1%22	https://www.apnaproject.com/blog-fm	C:/Users/harsha/Downloads/newwebsite/www.apnaproject.com/blog-fm.html	(from https://www.apnaproject.com/blogs)
16:14:59	107745/107745	---MC-	200	added ('OK')	image/png	etag:%2247cc69e91b0148465181010b13725b62%22	https://framerusercontent.com/images/fZfhgWwG1aVP3OB4M0oFmPq9ixI.png	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/fZfhgWwG1aVP3OB4M0oFmPq9ixI.png	(from https://www.apnaproject.com/blog-saas)
16:15:00	143639/143639	---MC-	200	added ('OK')	image/jpeg	etag:%227bb0f9cc28d7c024e73454798ff4268b%22	https://framerusercontent.com/images/rpn4yLMi3xiTldu8jqWWaKocdc.jpg	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/rpn4yLMi3xiTldu8jqWWaKocdc.jpg	(from https://www.apnaproject.com/blog-fm)
16:15:00	48711/48711	---MC-	200	added ('OK')	image/jpeg	etag:%22f896f74916de7e21917e6c340ad016c2%22	https://framerusercontent.com/images/6DSZsXSnuqPH16JtsoaLd6iz0pA.jpg	C:/Users/harsha/Downloads/newwebsite/framerusercontent.com/images/6DSZsXSnuqPH16JtsoaLd6iz0pA.jpg	(from https://www.apnaproject.com/blog-fm)
